id,Nome,Intervistato,Data_intervista,Link_Youtube,Link_embed,Latitude,Longitude,Video_originale,Video_player,Intervistato_icon,Link_zenodo,Video_player_2
028v,Angelicum,Bruno Canino,03-03-2022,https://www.youtube.com/watch?v=o_e454YKu2s,https://www.youtube.com/embed/o_e454YKu2s,45.47545488,9.191919172,"<a href=""https://www.youtube.com/watch?v=o_e454YKu2s"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/o_e454YKu2s"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Bruno_Canino,https://zenodo.org/record/7990185/files/Angelicum_Canino.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Angelicum_Canino.mp4"" width=""300px"" height=""220px"" ></video>"
037v,Angelicum,Giacomo Manzoni,03-03-2022,https://www.youtube.com/watch?v=Nw0q1rxJbXM,https://www.youtube.com/embed/Nw0q1rxJbXM,45.47567871,9.191759316,"<a href=""https://www.youtube.com/watch?v=Nw0q1rxJbXM"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/Nw0q1rxJbXM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Giacomo_Manzoni,https://zenodo.org/record/7990185/files/Angelicum_Manzoni.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Angelicum_Manzoni.mp4"" width=""300px"" height=""220px"" ></video>"
012v,Arethusa,Paolo Tomelleri,23-02-2022,,,45.46271441,9.189554915,"<a href=""https://www.youtube.com/watch?v=QPA8v4bKIs4"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/QPA8v4bKIs4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Paolo_Tomelleri,https://zenodo.org/record/7990185/files/Arethusa_Tomelleri.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Arethusa_Tomelleri.mp4"" width=""300px"" height=""220px"" ></video>"
048v,Arethusa,Lino Patruno,22-04-2022,https://www.youtube.com/watch?v=QmGBXYc5oDI,https://www.youtube.com/embed/QmGBXYc5oDI,45.46267948,9.189731731,"<a href=""https://www.youtube.com/watch?v=QmGBXYc5oDI"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/QmGBXYc5oDI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Lino_Patruno,https://zenodo.org/record/7990185/files/Arethusa_Patruno.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Arethusa_Patruno.mp4"" width=""300px"" height=""220px"" ></video>"
018v,Astoria,Gaetano Liguori,17-3-2022,https://www.youtube.com/watch?v=aBXk-BEwgMg,https://www.youtube.com/embed/aBXk-BEwgMg,45.46290152,9.186765401,"<a href=""https://www.youtube.com/watch?v=aBXk-BEwgMg"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/aBXk-BEwgMg"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Gaetano_Liguori,https://zenodo.org/record/7990185/files/Astoria_Liguori.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Astoria_Liguori.mp4"" width=""300px"" height=""220px"" ></video>"
019v,Auditorium Pirelli,Gaetano Liguori,17-3-2022,https://www.youtube.com/watch?v=_fvYQibxcYM,https://www.youtube.com/embed/_fvYQibxcYM,45.48461769,9.201991111,"<a href=""https://www.youtube.com/watch?v=_fvYQibxcYM"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/_fvYQibxcYM"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Gaetano_Liguori,https://zenodo.org/record/7990185/files/Auditorium%20Pirelli_Liguori.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Auditorium%20Pirelli_Liguori.mp4"" width=""300px"" height=""220px"" ></video>"
027v,Branca,Gaetano Liguori,17-3-2022,https://www.youtube.com/watch?v=YptMsA0pm_I,https://www.youtube.com/embed/YptMsA0pm_I,45.49662284,9.177873422,"<a href=""https://www.youtube.com/watch?v=YptMsA0pm_I"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/YptMsA0pm_I"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Gaetano_Liguori,https://zenodo.org/record/7990185/files/Branca_Liguori.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Branca_Liguori.mp4"" width=""300px"" height=""220px"" ></video>"
020v,Caprice,Gaetano Liguori,17-3-2022,https://www.youtube.com/watch?v=h5yDw8BuFOw,https://www.youtube.com/embed/h5yDw8BuFOw,45.46589914,9.198688263,"<a href=""https://www.youtube.com/watch?v=h5yDw8BuFOw"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/h5yDw8BuFOw"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Gaetano_Liguori,https://zenodo.org/record/7990185/files/Caprice_Liguori.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Caprice_Liguori.mp4"" width=""300px"" height=""220px"" ></video>"
049v,Captain Kid,Lino Patruno,22-04-2022,https://www.youtube.com/watch?v=ZBLFcQJXSl4,https://www.youtube.com/embed/ZBLFcQJXSl4,45.46373282,9.186144558,"<a href=""https://www.youtube.com/watch?v=ZBLFcQJXSl4"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/ZBLFcQJXSl4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Lino_Patruno,https://zenodo.org/record/7990185/files/Captain%20Kid_Patruno.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Captain%20Kid_Patruno.mp4"" width=""300px"" height=""220px"" ></video>"
029v,Cinema Gloria,Bruno Canino,03-03-2022,https://www.youtube.com/watch?v=4TzAuu09KWo,https://www.youtube.com/embed/4TzAuu09KWo,45.46641874,9.161931642,"<a href=""https://www.youtube.com/watch?v=4TzAuu09KWo"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/4TzAuu09KWo"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Bruno_Canino,https://zenodo.org/record/7990185/files/Cinema%20Gloria_Canino.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Cinema%20Gloria_Canino.mp4"" width=""300px"" height=""220px"" ></video>"
