ID,Nome,Attributo,Categoria,Generi,Provenienza,Latitude,Longitude
1610p,Rik Valente,2,Performer,"Canzone italiana, Jazz, Rock and Roll","Acquanegra, Cremona",45.1685642,9.8908399
554p,Fernando Previtali,9,Performer,Musica euro-colta,"Adria, Italy",45.0555487,12.0560381
1209p,Michelangelo Abbado,1,Performer,Musica euro-colta,"Alba, Italy",44.7009153,8.0356911
1079p,Luigi Ferrari Trecate,1,Performer,Musica euro-colta,"Alessandria, Italy",44.9072727,8.6116796
1217p,Milly,91,Performer,"Canzone internazionale, Musica di scena, Musica popolare","Alessandria, Italy",44.9072727,8.6116796
1464p,Piero Guarino,1,Performer,Musica euro-colta,"Alexandria, Egypt",31.2000924,29.9187387
1267p,Nicola Filacuridi,5,Performer,Opera,"Alexandria, Egypt",31.2000924,29.9187387
1898p,Alexandre Lagoya,1,Performer,Musica euro-colta,"Alexandria, Egypt",31.2000924,29.9187387
079p,Amedeo Baldovino,3,Performer,Musica euro-colta,"Alexandria, Egypt",31.2000924,29.9187387
194p,Bob Azzam,50,Performer,"Canzone italiana, Canzone internazionale, Commedia musicale, Jazz","Alexandria, Egypt",31.2000924,29.9187387
367p,Cristina Jorio,1,Performer,Canzone italiana,"Alfonsine, Italy",44.5059036,12.0430671
1215p,Miles Davis,1,Performer,Jazz,"Alton, Illinois, Stati Uniti",38.8906038,-90.1842764
449p,Elaine Shaffer,2,Performer,Musica euro-colta,"Altoona, Pennsylvania, United States",40.5186809,-78.3947359
1799p,Trio Los Paraguajos,16,Performer,"Canzone italiana, Musica popolare","Altos, Paraguay",-25.2631384,-57.2536314
1156p,Mario Pezzotta,3,Performer,"Canzone italiana, Jazz","Alzano Lombardo, Italy",45.7530752,9.7088947
177p,Bernard Haitink,1,Performer,Musica euro-colta,Amsterdam,52.3675734,4.9041389
163p,Ave Ninchi,74,Performer,Commedia musicale,"Ancona, Italy",43.6158299,13.518915
592p,Franco Corelli,25,Performer,Opera,"Ancona, Italy",43.6158299,13.518915
1185p,Massimo Pradella,3,Performer,Musica euro-colta,"Ancona, Italy",43.6158299,13.518915
364p,Cosimo Di Ceglie,39,Performer,"Canzone italiana, Canzone internazionale, Jazz, Commedia musicale","Ancona, Italy",43.6158299,13.518915
725p,Gina Cigna,1,Performer,Canzone italiana,"Angers, Francia",47.4711616,-0.5518257
897p,Jacques Loussier,7,Performer,"Canzone internazionale, Canzone francese","Angers, Francia",47.4711616,-0.5518257
083p,André Cluytens,10,Performer,Opera,Antwerp,51.2213404,4.4051485
1738p,solisti della Société Bach d'Anvers,1,Performer,Musica euro-colta,Anversa,51.2213404,4.4051485
1206p,Michel Block,1,Performer,Musica euro-colta,"Anversa, Belgio",51.2213404,4.4051485
885p,Irmgard Seefried,1,Performer,Musica euro-colta,"Apfeltrach, Germania",48.017982,10.4955733
264p,Carlo Meliciani,5,Performer,Opera,Arezzo,43.4632839,11.8796336
253p,Carlo Cava,5,Performer,Opera,"Ascoli Piceno, Italy",42.8475303,13.5668302
763p,Giulio Fioravanti,4,Performer,Opera,"Ascoli Piceno, Italy",42.8475303,13.5668302
701p,Gianni Basso,13,Performer,"Canzone italiana, Jazz","Asti, Italy",44.9007512,8.2064257
175p,Benny Joy,1,Performer,Rock and Roll,Atlanta,33.7489954,-84.3879824
1685p,Sammy Walker,1,Performer,Jazz,"Atlanta, Georgia",33.7489954,-84.3879824
662p,Gene Quill,2,Performer,Jazz,"Atlantic City, New Jersey, Stati Uniti",39.3642834,-74.4229266
282p,Cathy Berberian,6,Performer,Opera,"Attleboro, Massachusetts, United States",41.9445441,-71.2856082
663p,Gene Ramey,2,Performer,Jazz,"Austin, Texas, Stati Uniti",30.267153,-97.7430608
956p,Josè Rodriguez Farrè,3,Performer,Musica euro-colta,"Avellaneda, Buenos Aires, Argentina",-34.6610756,-58.3669739
025p,Adriana Martino,16,Performer,"Canzone napoletana, Opera","Aversa, Italy",40.9731743,14.2076688
464p,Elio Mauro,15,Performer,"Canzone italiana, Canzone internazionale","Avezzano, Italy",42.0281396,13.4255637
530p,Eugen Jochum,1,Performer,Musica euro-colta,"Babenhausen, Germania",49.9593613,8.9588974
832p,Herbert Albert,9,Performer,Musica euro-colta,"Bad Lausick, Germania",51.1449012,12.6450531
514p,Erik Werba,1,Performer,Musica euro-colta,"Baden bei Wien, Austria",48.00214,16.23091
265p,Carlo Montini,39,Performer,Musica di scena,Bagnolo,44.7617224,7.314887
1293p,Noemi Souza,1,Performer,Musica euro-colta,"Bahía Blanca, Argentina",-38.7183177,-62.2663478
1742p,Stanley Weiner,1,Performer,Musica euro-colta,Baltimore,39.2903848,-76.6121893
962p,Judith Ellwig,5,Performer,Opera,"Banská Bystrica, Slovacchia",48.736277,19.1461917
654p,Gaspar Cassadò,3,Performer,Musica euro-colta,Barcelona,32.8211286,-96.7845418
734p,Gino Latilla,1,Performer,Commedia musicale,Bari,41.1171432,16.8718715
924p,Jo Fedeli,1,Performer,"Canzone italiana, Jazz, Rock and Roll",Bari,41.1171432,16.8718715
1491p,Pippo Volpe,1,Performer,Commedia musicale,Bari,41.1171432,16.8718715
1845p,Vittorio Giuliani,13,Performer,Commedia musicale,Bari,41.1171432,16.8718715
262p,Carlo Maria Giulini,5,Performer,Musica euro-colta,"Barletta, Italy",41.3196635,16.2838207
771p,Giuseppe Fanciulli,1,Performer,"Canzone italiana, Canzone internazionale","Barletta, Italy",41.3196635,16.2838207
666p,George Gruntz,2,Performer,Jazz,"Basilea, Svizzera",47.5595986,7.5885761
1782p,Tito Gobbi,6,Performer,Opera,Bassano del Grappa,45.7657286,11.7272747
061p,Alexander Pavlovic,1,Performer,Musica euro-colta,Belgrade,44.8125449,20.4612299
351p,Coro della Radio di Belgrado,1,Performer,"Musica euro-colta, Musica popolare",Belgrade,44.8125449,20.4612299
354p,Coro dell'Opera Nazionale di Belgrado,2,Performer,Musica euro-colta,Belgrade,44.8125449,20.4612299
904p,Jane Russell,3,Performer,"Canzone italiana, Canzone internazionale, Rock and roll","Bemidji, Minnesota, Stati Uniti",47.471573,-94.8826861
