Id,Label,nome,numero di eventi menzionati,tipologia,indirizzo,latitude,longitude,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
001s,Accademia Csaky,Accademia Csaky,1,Sala da concerto,"Via Vivaio, 7, Milano, Italia",45.468868,9.203755,0.100677,4,0.322667,0.36157,0.753901
002s,Agape degli Artisti,Agape degli Artisti,1,Sala da concerto,"Via Mulino delle Armi, 12, Milano, Italia",45.456421,9.185753,0.111626,4,0.342776,0.384298,8.016625
004s,Ambrosianeum,Ambrosianeum,1,Sala da concerto,"Via delle Ore, 3, Milano, Italia",45.462915,9.192585,0.17141,4,0.337047,0.384986,14.221095
005s,Angelicum,Angelicum,1,Sala da concerto,"Via Renzo Bertoni, 5, Milano, Italia",45.475418,9.19274,0.320902,4,0.370031,0.431818,59.100387
006s,Arenella,Arenella,1,Dancing,"Via Pietro Panzeri, 5, Milano, Italia",45.453604,9.178385,0.153959,4,0.346705,0.38843,0.578376
007s,Astoria,Astoria,1,Night club,"Piazza Santa Maria Beltrade, 2, Milano, Italia",45.462903,9.186893,0.153959,4,0.346705,0.38843,0.578376
008s,Auditorium Tesio,Auditorium Tesio,1,Teatro,"Viale Angelo Salmoiraghi, 2, Milano, Italia",45.483855,9.141603,0.039079,4,0.283372,0.304408,0
009s,Basilica di San Ambrogio,Basilica di San Ambrogio,1,Teatro/Sala da concerto,"Piazza San Ambrogio, 15, Milano, Italia",45.462991,9.176053,0.134507,4,0.338936,0.383609,12.531837
010s,Bel Sit,Bel Sit,1,Night club,"Viale Certosa, 85, Milano, Italia",45.493301,9.14394,0.153959,4,0.346705,0.38843,0.578376
011s,Biblioteca Germanica,Biblioteca Germanica,1,Sala da concerto,"Via Legnano, 24, Milano, Italia",45.475942,9.181967,0.062543,4,0.319261,0.353994,0
012s,Birra Italia,Birra Italia,1,Night club,"Corso Sempione, 69, Milano, Italia",45.48478,9.159663,0.181168,4,0.350725,0.396006,5.915145
