id,Nome,Organizzatore,Eventi,Anno,Capienza,Costo medio,Tipologia,Indirizzo,Latitude,Longitude,Epoca di costruzione,Ricostruzione,Restauri,Rifacimento,ID foto,Data_foto,Thumbnails,Immagini_originali,Link_Thumbnail
007s,Arethusa,,0,,,,Night club,"Piazza Diaz, Milano, Italia",45.46217499,9.189526557,,,,,s007,1951,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s007.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s007.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s007.jpg
008s,Astoria,,12,,,,Night club,"Piazza Santa Maria Beltrade, 2, Milano, Italia",45.46297888,9.18685019,,,,,s008,1950-1960,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s008.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s008.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s008.jpg
012s,Bel Sit,,1,,,,Night club,"Viale Certosa, 85, Milano, Italia",45.49331104,9.1438061,,,,,s012,14/02/1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s012.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s012.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s012.jpg
014s,Birra Italia,,22,,,,Night club,"Corso Sempione, 69, Milano, Italia",45.4847216,9.15960431,,,,,s014,14/11/1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s014.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s014.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s014.jpg
015s,Caprice,,0,,,,Night club,"Via Borgogna, 5, Milano, Italia",45.46597746,9.19879675,,,,,s015,1959-1960,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s015.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s015.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s015.jpg
016s,Caravella,,0,,,,Night club,"Corso Buenos Aires, 1, Milano, Italia",45.47507383,9.20532525,,,,,s016,12/3/1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s016.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s016.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s016.jpg
021s,Chet Baker Club,,0,,,,Night club,"Foro Bonaparte, 74, Milano, Italia",45.46881412,9.18258548,,,,,s021,07/05/1962,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s021.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s021.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s021.jpg
031s,Coccodrillo,,0,,,,Night club,"Via Ozanam, 14, Milano, Italia",45.48024208,9.21324849,,,,,s031,5/11/1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s031.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s031.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s031.jpg
034s,Conty Grill (Hotel Continental),,1,,,,Night club,"Via Romagnosi, 2, Milano, Italia",45.46847178,9.19079304,1865,,,,s034,1930,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s034.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s034.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s034.jpg
035s,Derby Club,,1,,90,,Night club,"Via Monte Rosa, 84, Milano, Italia",45.47828994,9.14536715,,,,,s035,pre-1971,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s035.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s035.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s035.jpg
