Id,Label,nome,attribute,categoria,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
001p,15 Menestrelli,15 Menestrelli,1,Performer,92,8,0.237785,0.248671,0,0.00266
002p,5 Peres,5 Peres,6,Performer,228,2,0.8,0.875,1,0.000742
003p,5 Profeti,5 Profeti,1,Performer,248,1,1,1,0,0.000222
004p,5 Ratti y Jolly,5 Ratti y Jolly,1,Performer,243,2,0.666667,0.75,0,0.000236
005p,A Sax,A Sax,1,Performer,179,8,0.297002,0.326202,4.153571,0.027556
006p,Abbe Lane,Abbe Lane,5,Performer,247,9,0.17741,0.183,0,0.000862
007p,Abbey Simon,Abbey Simon,1,Performer,179,8,0.292461,0.317515,0,0.016972
008p,Abe Polakoff,Abe Polakoff,2,Performer,83,8,0.262144,0.279922,0,0.005381
009p,Abraham Comfort,Abraham Comfort,1,Performer,179,7,0.292152,0.314231,0,0.028237
010p,Accademia Corale della citt� di Ferrara,Accademia Corale della citt� di Ferrara,1,Performer,51,9,0.205992,0.216782,0,0.000657
011p,Accademia Corale di Lecco,Accademia Corale di Lecco,2,Performer,99,1,1,1,0,0.000222
012p,Accademia Corale Stefano Tempio,Accademia Corale Stefano Tempio,1,Performer,51,8,0.269606,0.289946,0.166667,0.009442
013p,Accademia musicale di Vienna,Accademia musicale di Vienna,1,Performer,0,0,0,0,0,0
014p,Accademia Musicale Napoletana,Accademia Musicale Napoletana,1,Performer,1,0,0,0,0,0
015p,Achille Berruti,Achille Berruti,5,Performer,51,7,0.339305,0.372773,20343.924237,0.103889
016p,Achille Braschi,Achille Braschi,8,Performer,51,7,0.292594,0.312394,0,0.01461
017p,Achille Togliani,Achille Togliani,7,Performer,290,8,0.208122,0.216073,0,0.00094
018p,Adelchi Amisano,Adelchi Amisano,1,Performer,179,8,0.311462,0.344551,15.531243,0.049602
019p,Adele Bonaym,Adele Bonaym,1,Performer,179,7,0.288229,0.309641,0,0.025079
020p,Adele Santamato,Adele Santamato,3,Performer,179,7,0.301592,0.331294,629.507082,0.050075
021p,Adriana Brugnolini,Adriana Brugnolini,1,Performer,179,8,0.27292,0.289481,0,0.004612
022p,Adriana Capparini,Adriana Capparini,1,Performer,179,7,0.295865,0.31566,0.166667,0.019841
023p,Adriana Del Poggio,Adriana Del Poggio,3,Performer,92,7,0.259259,0.274401,2107.722567,0.00657
024p,Adriana Lazzarini,Adriana Lazzarini,13,Performer,179,7,0.321144,0.355526,1776.366926,0.059526
025p,Adriana Martino,Adriana Martino,16,Performer,179,7,0.305455,0.337401,314.955803,0.059815
026p,Adriana Materassi,Adriana Materassi,1,Performer,283,1,1,1,0,0.000222
027p,Adriana Torrini,Adriana Torrini,26,Performer,64,7,0.258358,0.268609,65.465432,0.003295
028p,Adriano Celentano,Adriano Celentano,28,Performer,92,7,0.269006,0.290317,11803.48384,0.0157
029p,Adriano Ferrario,Adriano Ferrario,4,Performer,51,8,0.286434,0.310183,42.828018,0.031773
030p,Adriano Lualdi,Adriano Lualdi,3,Performer,179,7,0.313027,0.347132,74.40564,0.047956
031p,Agnes Giebel,Agnes Giebel,4,Performer,179,7,0.326517,0.359995,270.705007,0.065799
032p,Agostino Cattaneo,Agostino Cattaneo,1,Performer,233,8,0.262144,0.279922,0,0.005054
033p,Aida Accolla,Aida Accolla,1,Performer,128,1,1,1,0.2,0.001802
034p,Aim� Duval,Aim� Duval,1,Performer,2,1,1,1,0,0.000222
035p,Al Corvin,Al Corvin,1,Performer,92,8,0.208347,0.215902,0,0.001672
036p,Al Dikson,Al Dikson,2,Performer,3,8,0.292727,0.319068,0,0.021089
037p,Aladar Janes,Aladar Janes,5,Performer,179,7,0.337408,0.377398,178.392141,0.116332
038p,Alberto Baldan Bembo,Alberto Baldan Bembo,1,Performer,92,7,0.235897,0.245308,0,0.002046
039p,Alberto Bonucci,Alberto Bonucci,44,Performer,29,9,0.191344,0.198064,0,0.000881
040p,Alberto Caroldi,Alberto Caroldi,1,Performer,179,8,0.295956,0.321501,0,0.034488
041p,Alberto Dorgia,Alberto Dorgia,5,Performer,64,9,0.185448,0.192786,232.003679,0.00139
042p,Alberto Lionello,Alberto Lionello,42,Performer,68,7,0.277427,0.290516,0,0.005116
043p,Alberto Lisy,Alberto Lisy,1,Performer,179,7,0.332073,0.370127,98.628808,0.102682
044p,Alberto Mozzati,Alberto Mozzati,6,Performer,179,7,0.326848,0.365705,107.10169,0.104446
045p,Alberto Rabagliati,Alberto Rabagliati,7,Performer,92,7,0.298517,0.312443,12824.638946,0.008224
046p,Alberto Sorrentino,Alberto Sorrentino,1,Performer,4,0,0,0,0,0
047p,Alberto Zedda,Alberto Zedda,6,Performer,145,7,0.340141,0.38028,3205.039229,0.101486
048p,Alceo Gautelli,Alceo Gautelli,19,Performer,92,6,0.310861,0.327045,17076.342349,0.022784
049p,Alda Bellasich,Alda Bellasich,1,Performer,179,8,0.304348,0.333509,0,0.037882
050p,Alda Sileni,Alda Sileni,2,Performer,5,0,0,0,0,0
051p,Aldo Allegranza,Aldo Allegranza,42,Performer,64,8,0.221763,0.230236,0,0.001654
1895p,Aldo Allori,Aldo Allori,37,Performer,61,8,0.212705,0.221739,0,0.001251
052p,Aldo Bennici,Aldo Bennici,2,Performer,179,8,0.296274,0.323278,28.409055,0.026816
053p,Aldo Ceccato,Aldo Ceccato,1,Performer,95,2,0.75,0.833333,0,0.000488
054p,Aldo Ciccolini,Aldo Ciccolini,3,Performer,179,7,0.325911,0.363678,3.667833,0.092574
055p,Aldo Ferraresi,Aldo Ferraresi,1,Performer,179,7,0.310262,0.335329,0,0.03452
1896p,Aldo Mancinelli,Aldo Mancinelli,3,Performer,179,7,0.302869,0.333426,0,0.039673
056p,Aldo Santambrogio,Aldo Santambrogio,2,Performer,179,7,0.299535,0.323461,0,0.036723
057p,Alessandro De Sved,Alessandro De Sved,1,Performer,179,8,0.289352,0.31174,0,0.017788
058p,Alessandro Esposito,Alessandro Esposito,4,Performer,179,7,0.337114,0.371368,254.868792,0.083249
059p,Alessandro Santini,Alessandro Santini,1,Performer,6,0,0,0,0,0
060p,Alexander Brailowski,Alexander Brailowski,1,Performer,179,8,0.305455,0.339668,0,0.060465
061p,Alexander Pavlovic,Alexander Pavlovic,1,Performer,8,1,1,1,0,0.000222
062p,Alexander Uninsky,Alexander Uninsky,1,Performer,179,7,0.314709,0.346017,0,0.03884
1897p,Alexander Zakin,Alexander Zakin,1,Performer,179,7,0.32243,0.354432,0,0.057861
1898p,Alexandre Lagoya,Alexandre Lagoya,1,Performer,112,1,1,1,0,0.000222
063p,Alexis Roland-Manuel,Alexis Roland-Manuel,1,Performer,179,8,0.279433,0.300745,0,0.010762
064p,Alexis Welssenberg,Alexis Welssenberg,2,Performer,179,7,0.348234,0.38701,87.788149,0.169238
065p,Alfio Farina,Alfio Farina,6,Performer,145,7,0.291623,0.312161,362.898033,0.016011
066p,Alfonso Marchica,Alfonso Marchica,3,Performer,244,8,0.250974,0.267776,0,0.003067
067p,Alfonso Thomas,Alfonso Thomas,1,Performer,92,8,0.20275,0.210277,0,0.001317
068p,Alfredo Adami,Alfredo Adami,2,Performer,7,7,0.286732,0.306458,0,0.011875
069p,Alfredo Antonini,Alfredo Antonini,1,Performer,179,7,0.301075,0.323872,0,0.027586
070p,Alfredo Bianchini,Alfredo Bianchini,2,Performer,273,7,0.260027,0.271468,6076.267826,0.004108
1899p,Alfredo Giacomotti,Alfredo Giacomotti,13,Performer,179,7,0.299257,0.327916,199.535248,0.039344
071p,Alfredo Kraus,Alfredo Kraus,7,Performer,179,8,0.252846,0.271297,0,0.008836
072p,Alfredo Marchetti,Alfredo Marchetti,1,Performer,291,1,1,1,0,0.000222
073p,Alfredo Speranza,Alfredo Speranza,1,Performer,179,8,0.296455,0.322924,12.668532,0.034453
074p,Alice Strauss,Alice Strauss,1,Performer,179,8,0.255117,0.271217,0,0.004161
1900p,Alicia Diaz,Alicia Diaz,6,Performer,209,1,1,1,0,0.000474
075p,Alighiero Noschese,Alighiero Noschese,55,Performer,64,8,0.217152,0.226954,9.711964,0.00207
076p,Almerindo D'Amato,Almerindo D'Amato,1,Performer,179,7,0.323401,0.355552,0,0.064279
1901p,Alois Kina,Alois Kina,1,Performer,197,1,1,1,0,0.000222
077p,Alois Pernerstorfer,Alois Pernerstorfer,5,Performer,179,7,0.298471,0.327223,0,0.026278
1902p,Alvaro Alvisi,Alvaro Alvisi,7,Performer,92,7,0.23146,0.23948,0,0.001907
1903p,Alvaro Vicencio,Alvaro Vicencio,1,Performer,273,8,0.221382,0.231111,0,0.001703
078p,Alvino Misciano,Alvino Misciano,14,Performer,179,7,0.304204,0.338679,354.440061,0.05724
079p,Amedeo Baldovino,Amedeo Baldovino,3,Performer,179,7,0.317502,0.352645,31.17799,0.059428
1904p,Amedeo Manzato,Amedeo Manzato,1,Performer,129,1,1,1,0,0.000474
080p,Amedeo Tommasi,Amedeo Tommasi,4,Performer,92,7,0.266961,0.281207,1974.599785,0.009208
1905p,Amelia Benvenuti,Amelia Benvenuti,2,Performer,145,8,0.265021,0.282463,0,0.005388
081p,Amilcare Blaffard,Amilcare Blaffard,1,Performer,179,8,0.271654,0.292913,0,0.011603
1906p,Amy Shuard,Amy Shuard,3,Performer,179,7,0.300888,0.330071,0,0.03163
082p,Anania Battagliola,Anania Battagliola,2,Performer,179,7,0.330369,0.369576,1491.086352,0.091462
083p,Andr� Cluytens,Andr� Cluytens,10,Performer,179,7,0.325472,0.355552,965.623519,0.074632
1907p,Andr� Jaunet,Andr� Jaunet,1,Performer,179,8,0.293572,0.317679,0,0.016229
084p,Andr�e Zambianchi,Andr�e Zambianchi,1,Performer,179,7,0.323781,0.351187,0,0.055637
1908p,Andrei Mitrik,Andrei Mitrik,1,Performer,179,7,0.318234,0.352217,0,0.057806
085p,Andreina Pezzi,Andreina Pezzi,44,Performer,290,8,0.212846,0.223603,0,0.00191
1909p,Andreja Preger,Andreja Preger,1,Performer,8,1,1,1,0,0.000222
086p,Andres Segovia,Andres Segovia,3,Performer,179,8,0.294064,0.324382,30.903695,0.032637
087p,Angel Pocho Gatti,Angel Pocho Gatti,1,Performer,92,8,0.208347,0.215902,0,0.001672
088p,Angel Sanabria,Angel Sanabria,8,Performer,61,9,0.173149,0.177683,0,0.000587
089p,Angela Luce,Angela Luce,22,Performer,144,8,0.217006,0.227743,0.166667,0.002411
090p,Angela Vercelli,Angela Vercelli,2,Performer,179,7,0.320451,0.357548,960.603711,0.08675
091p,Angelica Vigevani,Angelica Vigevani,2,Performer,179,7,0.312016,0.345008,7.325573,0.057892
092p,Angelo Corti,Angelo Corti,14,Performer,149,2,0.857143,0.916667,0,0.001528
093p,Angelo Gandino,Angelo Gandino,1,Performer,179,7,0.290308,0.315586,0,0.027725
094p,Angelo Mazza,Angelo Mazza,1,Performer,9,0,0,0,0,0
095p,Angelo Mercuriali,Angelo Mercuriali,13,Performer,179,7,0.302017,0.333134,215.207888,0.040432
1910p,Angelo Musco,Angelo Musco,1,Performer,179,7,0.312571,0.344791,0,0.054681
096p,Angelo Rossi,Angelo Rossi,3,Performer,14,7,0.273732,0.292009,0,0.007278
097p,Angelo Surbone,Angelo Surbone,1,Performer,179,8,0.301122,0.333423,0,0.041373
1911p,Angiola Gigliani,Angiola Gigliani,2,Performer,51,8,0.259608,0.27556,0,0.005052
098p,Anita Porrini,Anita Porrini,1,Performer,10,0,0,0,0,0
099p,Ann Schein,Ann Schein,1,Performer,179,7,0.305745,0.334546,0,0.041353
1912p,Anna Bonomelli,Anna Bonomelli,1,Performer,179,8,0.273345,0.290734,0,0.006931
100p,Anna Colonna Romano,Anna Colonna Romano,1,Performer,179,8,0.278949,0.300581,4.026281,0.01303
101p,Anna D'Amico,Anna D'Amico,2,Performer,92,7,0.260377,0.276791,699.941571,0.010394
102p,Anna Della Valle,Anna Della Valle,1,Performer,92,8,0.222632,0.236372,0.166667,0.004514
103p,Anna Dor�,Anna Dor�,1,Performer,179,8,0.312672,0.347251,0,0.062419
104p,Anna Lari,Anna Lari,1,Performer,69,1,1,1,0,0.000222
1913p,Anna Maccianti,Anna Maccianti,2,Performer,14,8,0.262179,0.280181,0,0.005637
105p,Anna Maria Ferrero,Anna Maria Ferrero,44,Performer,29,9,0.191344,0.198064,0,0.000881
1914p,Anna Maria Greco,Anna Maria Greco,2,Performer,201,1,1,1,8,0.001559
106p,Anna Maria Paolucci,Anna Maria Paolucci,2,Performer,11,0,0,0,0,0
107p,Anna Maria Rota,Anna Maria Rota,1,Performer,179,7,0.309417,0.339791,35.627311,0.0448
108p,Anna Menichetti,Anna Menichetti,14,Performer,81,1,1,1,0,0.001078
109p,Anna Moffo,Anna Moffo,1,Performer,179,7,0.298378,0.326878,0,0.027686
110p,Anna Nogara,Anna Nogara,31,Performer,273,7,0.288876,0.304379,2301.720731,0.007996
111p,Anna Priori,Anna Priori,29,Performer,68,8,0.220825,0.229483,0,0.00175
112p,Anna Proclemer,Anna Proclemer,32,Performer,29,8,0.236446,0.248334,0,0.002808
1915p,Anna Ridolfi,Anna Ridolfi,33,Performer,145,8,0.247312,0.260862,0,0.00315
1916p,Anna Salento,Anna Salento,16,Performer,61,9,0.179872,0.185822,2.25,0.000951
113p,Annalisa Fabbri,Annalisa Fabbri,1,Performer,179,7,0.303821,0.330224,0,0.047651
114p,Annamaria Rota,Annamaria Rota,1,Performer,179,7,0.318759,0.352838,27.544242,0.07245
1917p,Annie Fisher,Annie Fisher,2,Performer,179,7,0.316981,0.355172,0,0.057765
115p,Anthony de Bonaventura,Anthony de Bonaventura,1,Performer,179,8,0.303583,0.327953,0,0.022654
116p,Anton Dolin,Anton Dolin,5,Performer,179,7,0.319233,0.347668,34.529658,0.055637
117p,Anton Heiller,Anton Heiller,2,Performer,179,8,0.292417,0.319465,0,0.017445
118p,Antonello Vannucci,Antonello Vannucci,1,Performer,92,8,0.213764,0.222408,0,0.002449
119p,Antonietta Cassisa,Antonietta Cassisa,1,Performer,12,7,0.302916,0.330239,0,0.024369
120p,Antonietta Stella,Antonietta Stella,28,Performer,179,7,0.307692,0.340301,373.095382,0.051832
121p,Antonino Votto,Antonino Votto,75,Performer,179,7,0.337349,0.380198,3105.955424,0.138051
122p,Antonio Balista,Antonio Balista,7,Performer,179,7,0.374564,0.420881,5338.059393,0.329504
123p,Antonio Beltrami,Antonio Beltrami,1,Performer,179,7,0.323239,0.363376,609.209997,0.113105
124p,Antonio Boyer,Antonio Boyer,5,Performer,179,7,0.289829,0.31273,0,0.026211
125p,Antonio Cassinelli,Antonio Cassinelli,11,Performer,179,7,0.299442,0.329966,76.745894,0.03788
126p,Antonio De Bavier,Antonio De Bavier,2,Performer,179,7,0.332817,0.373081,26.567524,0.09814
1918p,Antonio De Vico,Antonio De Vico,1,Performer,143,1,1,1,0,0.000474
127p,Antonio Del Monaco,Antonio Del Monaco,2,Performer,51,8,0.259608,0.27556,0,0.005052
128p,Antonio Janigro,Antonio Janigro,2,Performer,179,7,0.351592,0.3973,576.593861,0.166395
129p,Antonio Machin,Antonio Machin,2,Performer,13,1,1,1,0,0.000222
