id,Nome,Organizzatore,Eventi,Anno,Capienza,Costo medio,Tipologia,Indirizzo,Latitude,Longitude,Epoca di costruzione,Ricostruzione,Restauri,Rifacimento,ID foto,Data_foto,Thumbnails,Immagini_originali,Link_Thumbnail
002s,Agape degli Artisti,,3,ND,,,Sala da concerto,"Via Mulino delle Armi, 12, Milano, Italia",45.45643561,9.18585241,,,,,s002,21/06/1961,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s002.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s002.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s002.jpg
005s,Auditorium Angelicum,Angelicum,150,1953,250,,Sala da concerto,"Via Renzo Bertoni, 5, Milano, Italia",45.47566064,9.19198394,,,,,s005,,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s005.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s005.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s005.jpg
018s,Auditorium Pirelli,Centro Culturale Pirelli,3,1960,340,,Sala da concerto,"Piazza Duca d'Aosta, 5, Milano, Italia",45.4848758,9.20159698,,,,,s018,1961,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s018.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s018.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s018.jpg
009s,Auditorium Tesio,,1,ND,,,Teatro,"Viale Angelo Salmoiraghi, 2, Milano, Italia",45.48385656,9.1409415,,,,,s009,08/02/1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s009.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s009.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s009.jpg
011s,Basilica di San Ambrogio,"Polifonica Ambrosiana, Piccolo Teatro",37,386,,,Teatro/Sala da concerto,"Piazza San Ambrogio, 15, Milano, Italia",45.46217747,9.17527914,,,,,s011,1953,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s011.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s011.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s011.jpg
013s,Biblioteca Germanica,,2,,,,Sala da concerto,"Via Legnano, 24, Milano, Italia",45.47619855,9.1818881,,,,,s013,1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s013.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s013.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s013.jpg
017s,Castello Sforzesco,Piccolo Teatro,135,,,,Teatro,"Piazza Castello, Milano, Italia",45.4692041,9.1781533,,,,,s017,1960-1970,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s017.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s017.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s017.jpg
020s,Centro francese di studi e informazioni,,5,,,,Sala da concerto,"Via Bigli, 2, Milano, Italia",45.46799399,9.1946286,,,,,s020,17/03/1960,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s020.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s020.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s020.jpg
025s,Circolo Alessandro Volta,,2,,200,,Sala da concerto,"Via Giuseppe Giusti, 16, Milano, Italia",45.48025712,9.17676508,,,,,s025,13/12/2014,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s025.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s025.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s025.jpg
026s,Circolo del Castello,,1,,,,Sala da concerto,"Via Quintino Sella, 2, Milano, Italia",45.47030764,9.18280005,,,,,s026,21/11/1962,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s026.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s026.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s026.jpg
