id,Nome,Organizzatore,Eventi,Capienza,Costo medio,Tipologia,Categoria,Indirizzo,Latitude,Longitude,Epoca di costruzione,Ricostruzione,Restauri,Rifacimento,ID foto,Data_foto,Thumbnails,Immagini_originali,Link_Thumbnail
002s,Agape degli Artisti,,3,,,Sala_concerto,Sala da concerto,"Via Mulino delle Armi, 12, Milano, Italia",45.45643561,9.18585241,,,,,s002,21/06/1961,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s002.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s002.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s002.jpg
003s,Al pozzo club,,0,,,Whisky_a_gogo,Whisky a go-go,"Viale Piave, 40, Milano, Italia",45.47326446,9.206779,,,,,s003,17/02/1961,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s003.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s003.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s003.jpg
006s,Arenella,,143,500,,Dancing,Dancing,"Via Pietro Panzeri, 5, Milano, Italia",45.45362091,9.17836368,,,,,s006,25/05/1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s006.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s006.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s006.jpg
007s,Arethusa,,0,,,Night_Club,Night club,"Piazza Diaz, Milano, Italia",45.46217499114208,9.18952655652835,,,,,s007,1951,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s007.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s007.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s007.jpg
008s,Astoria,,12,,,Night_Club,Night club,"Piazza Santa Maria Beltrade, 2, Milano, Italia",45.46297888,9.18685019,,,,,s008,1950-1960,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s008.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s008.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s008.jpg
005s,Auditorium Angelicum,Angelicum,150,250,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Via Renzo Bertoni, 5, Milano, Italia",45.47566064,9.19198394,,,,,s005,,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s005.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s005.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s005.jpg
018s,Auditorium Pirelli,Centro Culturale Pirelli,3,340,,Sala_concerto,Sala da concerto,"Piazza Duca d'Aosta, 5, Milano, Italia",45.4848758,9.20159698,,,,,s018,1961,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s018.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s018.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s018.jpg
009s,Auditorium Tesio,,1,,,Teatro,Teatro,"Viale Angelo Salmoiraghi, 2, Milano, Italia",45.48385656,9.1409415,,,,,s009,08/02/1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s009.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s009.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s009.jpg
010s,Bar Missori,,1,,,Altro,Altro,"Piazza Giuseppe Missori, 1, Milano, Italia",45.4608513,9.1885051,,,,,s010,1953,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s010.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s010.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s010.jpg
011s,Basilica di San Ambrogio,"Polifonica Ambrosiana, Piccolo Teatro",37,,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Piazza San Ambrogio, 15, Milano, Italia",45.46217747,9.17527914,,,,,s011,1953,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s011.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s011.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s011.jpg
