Luogo,Numero di performer,Percentuali
"Milan, Italy",143,"11,78"
"Rome, Italy",53,"4,37"
"Naples, Italy",36,"2,97"
"Torino, Italy",33,"2,72"
"Vienna, Austria",28,"2,31"
"Paris, France",26,"2,14"
Bologna,21,"1,73"
"Venezia, Italy",19,"1,57"
Budapest,18,"1,48"
"New York, New York, Stati Uniti",18,"1,48"
"Treviso, Italy",17,"1,4"
"Firenze, Italy",16,"1,32"
Berlin,13,"1,07"
"Genova, Italy",12,"0,99"
"Brescia, Italy",9,"0,74"
"Palermo, Italy",9,"0,74"
"Praga, Cechia",8,"0,66"
Buenos Aires,7,"0,58"
"Chicago, Illinois, United States",7,"0,58"
"Cologne, Germany",7,"0,58"
"La Spezia, Italy",7,"0,58"
"London, United Kingdom",7,"0,58"
"Brooklyn, New York",6,"0,49"
"Verona, Italy",6,"0,49"
"Alexandria, Egypt",5,"0,41"
"Cremona, Italy",5,"0,41"
"Ferrara, Italy",5,"0,41"
"Kiel, Germany",5,"0,41"
"Moscow, Russia",5,"0,41"
"Padova, Italy",5,"0,41"
"Parma, Italy",5,"0,41"
"Pittsburgh, Pennsylvania, United States",5,"0,41"
"Zagabria, Croazia",5,"0,41"
"Ancona, Italy",4,"0,33"
Bari,4,"0,33"
Bergamo,4,"0,33"
"Legnago, Italy",4,"0,33"
"Marseille, France",4,"0,33"
"Monaco di Baviera, Germania",4,"0,33"
"Odesa, Ukraine",4,"0,33"
"Perugia, Italy",4,"0,33"
"Sheffield, Alabama",4,"0,33"
"Siena, Italy",4,"0,33"
"Washington, D.C., United States",4,"0,33"
Antwerp,3,"0,25"
Belgrade,3,"0,25"
"Bucarest, Romania",3,"0,25"
"Buffalo, New York, Stati Uniti",3,"0,25"
"Cairo, Egypt",3,"0,25"
"Codogno, Italy",3,"0,25"
Cuba,3,"0,25"
"Filadelfia, Pennsylvania, Stati Uniti",3,"0,25"
"Francoforte sul Meno, Germania",3,"0,25"
"Harlem, New York, United States",3,"0,25"
"Lugano, Svizzera",3,"0,25"
"Madrid, Spagna",3,"0,25"
"Modena, Italy",3,"0,25"
"New Orleans, Louisiana, Stati Uniti",3,"0,25"
"Novara, Italy",3,"0,25"
"Pesaro, Italy",3,"0,25"
"Reggio Emilia, Italy",3,"0,25"
"Sofia, Bulgaria",3,"0,25"
"Trento, Italy",3,"0,25"
"Alessandria, Italy",2,"0,16"
"Angers, Francia",2,"0,16"
"Ascoli Piceno, Italy",2,"0,16"
Atlanta,2,"0,16"
"Barletta, Italy",2,"0,16"
Biella,2,"0,16"
Bratislava,2,"0,16"
"Campobasso, Italy",2,"0,16"
"Casalecchio di Reno, Italy",2,"0,16"
"Cento, Italy",2,"0,16"
"Como, Italy",2,"0,16"
"Dallas, Oregon, United States",2,"0,16"
"Detroit, Michigan, United States",2,"0,16"
"Dunedin, Florida, United States",2,"0,16"
"Foggia, Italy",2,"0,16"
"ForlÃ¬, Italy",2,"0,16"
"Ginevra, Svizzera",2,"0,16"
"Kansas City, Missouri, United States",2,"0,16"
"Kiev, Ucraina",2,"0,16"
"L'Aquila, Italy",2,"0,16"
"Lecco, Italy",2,"0,16"
"Leipzig, Germany",2,"0,16"
"LiÃ¨ge, Belgium",2,"0,16"
"Los Angeles, California, United States",2,"0,16"
"Lucca, Italy",2,"0,16"
"Mantova, Italy",2,"0,16"
"Matanzas, Cuba",2,"0,16"
"Monfalcone, Italy",2,"0,16"
"Montgomery, Alabama, Stati Uniti",2,"0,16"
"MontrÃ©al, Canada",2,"0,16"
"New Hartford, Connecticut, Stati Uniti",2,"0,16"
"Newark, New Jersey, United States",2,"0,16"
"Nice, France",2,"0,16"
"Philadelphia, Pennsylvania, United States",2,"0,16"
"Ravarino, Italy",2,"0,16"
"Roccasecca, Italy",2,"0,16"
"Rotterdam, Paesi Bassi",2,"0,16"
"Saint Petersburg, Russia",2,"0,16"
"San Francisco, California, Stati Uniti",2,"0,16"
"San Pietroburgo, Russia",2,"0,16"
"San SebastiÃ¡n, Spagna",2,"0,16"
"Santiago, Chile",2,"0,16"
