Id,Label,nome,attributo,tipologia,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
001p,,15 Menestrelli,1,Performer,0.001458,10,0.18099,0.190147,0
002p,,5 Peres,6,Performer,0.01344,8,0.225988,0.243668,0
003p,,5 Profeti,1,Performer,0.000648,2,0.666667,0.75,0
004p,,5 Ratti y Jolly,1,Performer,0.003465,8,0.206817,0.218625,0
005p,,A Sax,1,Performer,0.007189,10,0.206365,0.221539,0
006p,,Abbe Lane,5,Performer,0.021195,8,0.23441,0.254546,0
007p,,Abbey Simon,1,Performer,0.050767,8,0.256177,0.282066,0
008p,,Abe Polakoff,2,Performer,0.050767,8,0.256177,0.282066,0
009p,,Abraham Comfort,1,Performer,0.050767,8,0.256177,0.282066,0
010p,,Accademia Corale della citt� di Ferrara,1,Performer,0.007822,10,0.194938,0.212782,0
011p,,Accademia Corale di Lecco,2,Performer,0.002882,10,0.198256,0.212129,470.559673
012p,,Accademia Corale Stefano Tempio,1,Performer,0.050767,8,0.256177,0.282066,0
013p,,Accademia musicale di Vienna,1,Performer,0.007822,10,0.194938,0.212782,0
014p,,Accademia Musicale Napoletana,1,Performer,0.028713,8,0.232046,0.255297,0
015p,,Achille Berruti,5,Performer,0.024905,10,0.217346,0.24303,0
016p,,Achille Braschi,8,Performer,0.009586,8,0.210603,0.227642,0
017p,,Achille Togliani,7,Performer,0.057888,8,0.269803,0.296691,34199.345794
018p,,Adelchi Amisano,1,Performer,0,0,0,0,0
019p,,Adele Bonaym,1,Performer,0.024905,10,0.217346,0.24303,0
020p,,Adele Santamato,3,Performer,0.005568,10,0.189116,0.205479,0
021p,,Adriana Brugnolini,1,Performer,0,0,0,0,0
022p,,Adriana Capparini,1,Performer,0.028713,8,0.232046,0.255297,0
023p,,Adriana Del Poggio,3,Performer,0.004111,8,0.204797,0.217118,272.546314
024p,,Adriana Lazzarini,13,Performer,0.053618,8,0.246152,0.280398,2079.456142
025p,,Adriana Martino,16,Performer,0.040487,8,0.233887,0.26365,2943.457105
026p,,Adriana Materassi,1,Performer,0.007822,10,0.194938,0.212782,0
027p,,Adriana Torrini,26,Performer,0.005314,8,0.200958,0.214131,0
028p,,Adriano Celentano,28,Performer,0.049584,8,0.245384,0.278199,37591.164404
029p,,Adriano Ferrario,4,Performer,0.002234,10,0.188323,0.200445,0
030p,,Adriano Lualdi,3,Performer,0.082273,8,0.271121,0.308487,3932.822976
031p,,Agnes Giebel,4,Performer,0.060218,8,0.249076,0.28405,1505.835937
032p,,Agostino Cattaneo,1,Performer,0.021195,8,0.23441,0.254546,0
033p,,Aida Accolla,1,Performer,0.007189,10,0.206365,0.221539,0
034p,,Aim� Duval,1,Performer,0.028713,8,0.232046,0.255297,0
035p,,Al Corvin,1,Performer,0.002385,8,0.199556,0.210663,0
036p,,Al Dikson,2,Performer,0,0,0,0,0
037p,,Aladar Janes,5,Performer,0.075673,8,0.268574,0.302566,2852.458831
038p,,Alberto Baldan Bembo,1,Performer,0,0,0,0,0
039p,,Alberto Bonucci,44,Performer,0.050767,8,0.256177,0.282066,0
040p,,Alberto Caroldi,1,Performer,0.003013,10,0.200106,0.213612,0
041p,,Alberto Dorgia,5,Performer,0.007719,8,0.214676,0.229421,0
